Category,Location,Resume,Applied_Jobs
devops engineer,ha noi,"core competencies ~ ant ~ maven ~ git ~ bitbucket ~ jenkins ~ linux ~ ansible ~ shell scripting ~requirement gathering ~continuous integration and continuous deployment ~ software development life cycle ~ software testing life cycle ~ documentation & reporting ~ test reports it skills primary skills: dev-ops methodologies programming languages: c, core java version controls: git, bitbucket build tools: ant, maven ci/cd tools: jenkins configuration management: ansible scripting: shell script application servers: apache tomcat servereducation details june to june masters of science information technology hyderabad, telangana jntu devops engineer devops engineer - nendrasys technologies pvt ltd skill details deployment- exprience - months git- exprience - months documentation- exprience - months change management- exprience - months configuration management- exprience - monthscompany details company - nendrasys technologies pvt ltd description - date project description: the scope of the project is to design & develop e-commerce product features for sloan project. it's a basically bb project where customer can buy all fixers, sinks related product. it focuses on the company, the stakeholders and applications, which allow for online sales, distribution and marketing of product. responsibilities: o detailed technical knowledge and hands-on experience on devops, automation, build engineering and configura - tion management. o creating fully automated ci build and deployment infrastructure and processes for multiple projects. o developing scripts for build, deployment, maintenance and related tasks using jenkins. o installing, configuring and maintaining continuous integration, automation and configuration management tools. o developing ant, maven and shell scripts to automatically compile, package, deploy war, ear and jar files of mul- tiple applications to various platforms. o creating repositories, branches, managing the permissions of users and maintaining git, bitbucket o deploying and maintaining the code and application respectively and configuring the components which increase the re-usability. o working closely with architecture, development, test, security and it services teams. o supporting business analysts in getting used to the newly created jobs and release activities. o communicating daily with on-site team o analyzing the requirements and identifying gaps & tracking logs, issues. project nendrasys technologies pvt ltd., project name: bangkok bank limited (bbl) thaitrade (commercial, e-commerce & payment portal) company - nendrasys technologies pvt ltd description - role: devops engineer devops engineer for a team that involved different development teams and multiple simultaneous software re- leases participated in weekly release meetings with different teams to identify and mitigate potential risks associated with the releases. responsible for creating repositories, branches, managing the permissions of users and maintaining git. creating fully automated ci build and deployment infrastructure and processes for multiple projects. analyze and resolve conflicts related to merging of source code for git responsible for creating ant and maven scripts for build automation. implemented the setup for master slave architecture to improve the performance of jenkins. handled end-to-end deployments and code propagation's across different environments, dev to prod. handled the tasks of developing and maintaining the change tasks. closely working with developers, qa, performance, uat testers, it team. created and maintained documentation of build and release processes and application configuration coordinated with developers, business analyst and mangers to make sure that code is deployed in the production environment. project nendrasys technologies pvt ltd., project name: sloan global holdings (sloan) (e-commerce) company - nendrasys technologies pvt ltd description - project description: bbl is development of an e-commerce payment portal system. as such bbl require a system which can support multiple merchants bb/bc e-commerce portal with various payment options via both online and offline. to achieve this bbl had made an agreement with thai trade, thai trade is one of the leading e-commerce website recognized by thai government. in present thai trade has a good base of users and sellers in several categories .the scope of the project is to design and develop e-commerce product features for bblwtp project. it focuses on the company, the stakeholders and applications, which allow for online sales, distribution and marketing of electronics. responsibilities: o plan and track activities involved for build and deployment. o resolving build issues o developing scripts for build, deployment, maintenance and related tasks using jenkins. o collaboration with development, qa, product managements on build plans & schedules o send daily and weekly reports to the team. o involved in creating repositories, branches, merging activities, backup and restore activities in subversion servers. o maintenance of maven, shell scripts for safe builds and deploys.","['devops engineer (aws, jenkins, nexus)', 'senior devops engineer (azure cloud)', 'devops engineer (aws)', 'devops engineer', 'senior devops engineer (azure, aws)']"
electrical engineering,ho chi minh,"education details july to may be electrical and electronics engineering bhopal, madhya pradesh rgpv july to may diploma in electrical electrical engineering bhopal, madhya pradesh rgpv university bhopal matric ghs bhuli electrical engineering skill details basic computer, electrical machine, electrical wiring, solar power plant, distribution substation- exprience - less than year monthscompany details company - enigma business advisor description - solar energy . solar power plant installation . maintenance transmission and distribution line . installation","['embedded software engineer (c/c++, linus, rtos)', 'senior embedded engineer', 'embedded technical project manager (joining bonus)']"
database,da nang,"technical skills sql oracle v, v, v r programming, python, linear regression, machine learning and statistical modelling techniques(obtained certification through edvancer eduventures training institute) key skills multitasking, working to meet client sla in high pressure scenarios, handling sensitive clients along with improved skills at being a team player. excellent communication skills and quick learner. leadership qualities, team networking and courage to take up the problems proactively.education details june sadvidya pre-university college application database administrator-dbms (oracle) application database administrator-dbms (oracle) - ibm india pvt ltd skill details clients- exprience - months machine learning- exprience - months oracle- exprience - months sql- exprience - months excellent communication skills- exprience - monthscompany details company - ibm india pvt ltd description - client: blue cross blue shield ma: massachusetts health insurance used oracle sql to store and organize data. this includes capacity planning, installation, configuration, database design, migration, security, troubleshooting, backup and data recovery. worked with client databases installed on oracle v, v, v on a linux platform. proficient communication with clients across locations facilitating data elicitation. handling numerous business requests and solving them diligently within the given time frame and responding quickly and effectively to production issues within sla. leading a team in co ordination with business to conduct weekly checkouts of the database servers and systems ibm certifications statistics , applied data science with r, big data foundations, data science foundations business analytics certification (pune) worked on retail and banking projects, to design a predictive business model using machine learning techniques in r programming for an efficient business and marketing strategy.","['senior database specialist (database, aws)', 'database developver ( sql server, mysql, mongodb)', 'database developer (up to $2000 gross)', 'data engineer (sql, data analyst, agile)']"
hr,da nang,"training in special education (certificate course) education details july to october m.sc psychology with specialization in organizational behaviour malappuram, kerala calicut university july to march bsc psychology thrissur prajyoti niketan college hr skill details company details company - description - i have done a days internship in the hr department of foster hot breads, kinfra, malappuram, kerala and i have also done a days internship at santhwana institute of counselling and psychotherapy, cochin, kerala as counsellor","['erp business analyst - presales consultant', 'talent acquisition']"
web designing,ha noi,"education details january b.sc. information technology mumbai, maharashtra university of mumbai january hsc allahabad, uttar pradesh allahabad university january ssc dot net allahabad, uttar pradesh allahabad university web designer and developer trainer web designer and developer skill details web design- exprience - months php- exprience - monthscompany details company - nettech india description - working. ( salary - k) personal interest listening to music, surfing net, watching movie, playing cricket. company - epi center academy description - working. ( salary contract based) company - aptech charni road description - salary contract based)","['front-end developer (vuejs - typescript)', 'junior frontend web dev (reactjs/typescript)', '[da nang] web app developer (php/c#/.net/javascript)', 'senior/principal ruby on rails dev (aws, backend)']"
operations manager,ho chi minh,"education details august b.e electronics pune, maharashtra pune university operations manager operations manager - delta controls, dubai fzco skill details company details company - delta controls, dubai fzco description - heading pune branch [m/s deltannex integrators pvt. ltd.] from aug ' till date designation - operations manager [st employee] . reporting to the gm-operations . review of sow, rfq, assist the proposal team on the engineering man hours, project schedule, organization chart and meeting the client for pre-sales support . review of sow, rfq, client's purchase order or contract terms & conditions . project execution plans after through discussion with client & consultants . kick of meeting & ad-hoc meetings with client . project evaluation in terms of outlays & profits . ensuring an appropriate project management framework . management of all contractual and commercial issues related to the project . monitoring, reviewing & reporting of the project progress . coordinating and fostering teamwork & prioritization of team activities . monitor the project budget . apply quality management system and processes . liaison with and reporting to client. . monitoring & complying with invoicing schedules. . compilation and submission of change orders / waivers / concessions. responsible for variation claims with support of proposal team . approving the mrn & follow up with procurement team . planning & co-ordination of site activities . receive final payment & project official closeout . give a constant feedback to proposal based on the lessons learnt to correct the earlier mistakes in the future proposal . preparation of project management reports in terms of planned vs actual based on ev analysis and scheduled variances on biweekly / monthly basis . exception/ alert reporting to gm on critical issues . maintains contact with all clients in the market area to ensure high levels of client satisfaction . adheres to all company policies, procedures and business ethics codes and ensures that they are communicated and implemented within the team. . transfer the project to the project team with proper internal kick-off and provide all the information including e-mail communication. . clarification e-mail/ phone to customer if any and responses from customer . site visit for sales & technical discussions . co-ordinates with accounts for tender bond if any . submission of offers/tenders . attending tqs/ revisions / changes from customer . managing revision of offers and costing and submittal if any company - honeywell automation india ltd description - since may to june at honeywell, seoul, south korea] roles and responsibilities: . discuss with honeywell korea le / pm and engineering manager, understand the work forecast and communicate it to ges stake holders. . understanding project / work pack scope and collect required design inputs from honeywell korea pm and le. . communicating project / work pack scope and sending required design inputs to ges stake holders (om / em) . helping ges office in preparing estimation for ges scope of activities. . discuss ges estimation with honeywell korea pm / le. . coordinate between ges and honeywell korea pm / le so that estimation is agreed by both parties. . helping ges in preparing jas. . coordinate with honeywell korea pm / pc to get purchase orders as per ja. . coordinate with ges and honeywell korea for following activities during project execution: a. understanding ges queries and getting them resolved by discussing with honeywell korea le. b. communicating honeywell korea requirements / schedules / revised design inputs / revised scope / concerns / issues / honeywell korea comments / customer comments to ges. c. understanding ges change orders and discussing with honeywell korea le / pm. d. finalizing change orders. e. ensure good quality of ges deliverables by doing spot quality checks. f. ensuring that all the procedures standards are being followed at both sides. g. ensuring smooth project execution as per agreed project schedules. h. ensuring that deliverables are being sent as per agreed deliverables schedule. i. identifying possible issues in project and suggesting corrective actions to both ges & honeywell korea. j. scheduling project review meetings whenever required. k. attending proto type tests / demo / design review meetings / pre-inspection meetings / pre kom / kom whenever required. l. ensuring engineer's travel for pre-fat / fat / attending important meetings like kom, proto type tests, etc. as mutually agreed for the project. m. arranging invitation letters / ccvi / work permits, etc. for visa processing of ges engineers. n. ensuring that progress reports are being sent regularly by ges em. o. ensuring that pre-fat / fat is progressing smoothly. . preparing and sending monthly progress reports to all the stake holders. . arranging monthly teleconference with honeywell korea pas business leader, engineering manager and ges operations manager to understand the progress and issues. . attending project review meetings with pm / le / epc whenever required. . helping honeywell korea sales / proposal team in understanding ges capabilities and providing required information to them. . reviewing customer rfqs and ensure that all requirements are captured in proposals or informing the requirements / comments to proposal team / project manager. . attending estimation review meetings, tbes, technical clarification meetings whenever required. projects completed at honeywell, india: project (honeywell) role project highlights fgp/wpmp client: tco mac: mustang/honeywell team lead system: epks dcs + sis + fgs job:- hardware configuration c- application development timely delivery of the deliverable after ensuring quality check. attending weekly project review meetings (telephonic) with client. the project is still in starting phase so scope of work is not very clear. grain lng rtlf client: cbi / national grid, uk team lead process: lng tanker loading system: epks dcs + sis + fgs c- controller = no. job:- planning and monitoring the below mentioned engineering activities- design and development of all hardware part as below:- system cabinet - no marshalling cabinet - no. network cabinet no. system architecture heat and load calculation bom network and miscellaneous cord schedule wiring schedule c- application development monitoring hmi c&e graphics development monitoring testing of simple and complex loops using standard methodology along with hmi (integrated testing + test reports) focal point for communication with client timely delivery of the deliverable after ensuring quality check. attending weekly project review meetings (telephonic) with client this was a fast track project completed successfully got appreciations from client. amc to hpm migration-mx client: thai oil public co. ltd. team lead process: furnace system: tps hpm controller = no. job:- planning and monitoring the below mentioned engineering activities- loop drawing design using microsoft visio logic point building using hpm builder pu calculation and io allocation hpm database preparation downloading of points on hpm test system testing of simple and complex loops using standard methodology focal point for communication with client timely delivery of the deliverable after ensuring quality check. attending weekly project review meetings (telephonic) with client amc to hpm migration-ccr client: thai oil public co. ltd. team lead process: furnace system: tps hpm controller = no. job:- planning and monitoring the below mentioned engineering activities- loop drawing design using microsoft visio logic point building using hpm builder pu calculation and io allocation hpm database preparation downloading of points on hpm test system testing of simple and complex loops using standard methodology focal point for communication with client timely delivery of the deliverable after ensuring quality check. attending weekly project review meetings (telephonic) with client utilities and offsites client: enppi end client: ethydco, egypt team lead process: utilities for ethylene plant. system: experion r., redundant controllers = nos. system cabinets = nos. marshalling cabinets = nos. redundant servers = pair experion backup restore = no process history database = no. fdm server = no. engineering station - dcs = no. operating stations - dcs = no. job:- planning the activities like hardware engineering, software engineering and hmi development.. responsible for hardware engineering for system, marshalling, network, power distribution cabinets etc. preparation of bom answering the queries or doubts from client attending weekly project status meetings with client through video/audio conference. fat completed, at abu dhabi, successfully. control plant-/ control plant client: jbk controls end client: qatar foundation qatar. team lead process: hvac system: ml r (plc) + experion r. (for scada only) redundant controllers = nos. system/ marshalling cabinets = nos. redundant servers = pair fdm server = no. engineering station - dcs = no. operating stations - dcs = nos. job:- monitored the wiring schematic preparation activity for all plc control panels (ups + system + marshalling) monitored the control panel manufacturing activity for all plc panels. monitored the internal testing activity of all plc panels. monitored the fds document development activity. monitored the fat document development activity. performed the nd level quality checks for wiring schematics, fds and fat document. delivered all the deliverables as mentioned above on time. successfully completed the pre-fat and fat, in presence of client from qatar. north side utility tunnel hvac system. client: jbk controls end client: qatar foundation qatar. team lead monitored the wiring schematic preparation activity for all plc control panels (ups + system + marshalling) monitored the control panel manufacturing activity for all plc panels. monitored the internal testing activity of all plc panels. monitored the fds document development activity. monitored the fat document development activity. performed the nd level quality checks for wiring schematics, fds and fat document. delivered all the deliverables as mentioned above on time. successfully completed the pre-fat and fat, in presence of client from qatar. truck marshalling area hvac system. client: jbk controls end client: qatar foundation qatar. team lead monitored the wiring schematic preparation activity for all plc control panels (ups + system + marshalling) monitored the control panel manufacturing activity for all plc panels. monitored the internal testing activity of all plc panels. monitored the fds document development activity. monitored the fat document development activity. performed the nd level quality checks for wiring schematics, fds and fat document. delivered all the deliverables as mentioned above on time. successfully completed the pre-fat and fat, in presence of client from qatar. graphics development client: chevron oronite. singapore. team lead prepared the estimation for graphics development job using epks hmiweb display builder. completed the development activity within schedule with a very proficient team of engineers. performed the nd level quality check for all graphics. delivered the developed graphics as per the delivery schedule. very few defects / comments noticed by clients. (which were accepted and implemented) tgi modernization client: kh engineering b.v. end user: shell nederland raffinaderji b.v. amsterdam team lead application engineering for highway gateway (hg) to epks migration based on cmpi database application development for furnace coil balancing loop flow compensation logic development hmi testing and converting old system hmi scripts to ace control modules performed quality check activities by extracting logic parameters trainings completed: - company - fox controls description - strategically planning and analyzing the basic requirements while setting up the technical infrastructure of the project and reviewing all the project proposals. accountable for plc and scada based application development. perform engineering and commissioning of process plants using plc, drives and scada. carrying out thorough documentation of engineering details related to the project. organizing and managing resources while creating estimates for the project, work breakdown structure, project plan, contingency plan & schedules, preventive maintenance related to instrumentation, plc, identifying risks within defined scope, quality, time and cost constraints interacted with the customers\clients on their projects for providing technical advises & feedbacks, creating high-level requirements. schedule tracking in coordination with site to ensure timely delivery of the project as planned. proficient in various documentation processes. expert in ensuring the effective utilization of resources; human, material, and facility. plans and project schedules, tests etc adopt at maintaining perfect coordination with the work team & all internal/external parties to freeze the technical parameters/ work scope to iron out any ambiguities; carrying out work measurements and providing technical validation for jobs. *please see annexure for project details company - fox controls, dubai description - worked as a foundation member for this startup of business by contacting local customers and providing services as per their requirements. additional responsibility: worked as management representative for maintaining the iso : quality system. carried out the internal audits for all the departments in the company for the year . company - enercon (india) limited description - completed projects of capacity ranging from . mw to . mw as a commissioning leader. got hands on experience with inverter-converter system, various power devices like igbts, thyristors etc. handled sap system","['delivery manager', 'project manager/product owner', 'software project manager/ manager (japanese speaking)', 'project manager/product owner', 'project manager (salesforce)', 'senior manager, quality management (japanese n2+)']"
data science,ho chi minh,"expertise data and quantitative analysis decision analytics predictive modeling data-driven personalization kpi dashboards big data queries and interpretation data mining and visualization tools machine learning algorithms business intelligence (bi) research, reports and forecasts education details pgp in data science mumbai, maharashtra aegis school of data science & business b.e. in electronics & communication electronics & communication indore, madhya pradesh ies ips academy data scientist data scientist with pr canada skill details algorithms- exprience - months bi- exprience - months business intelligence- exprience - months machine learning- exprience - months visualization- exprience - months spark- exprience - months python- exprience - months tableau- exprience - months data analysis- exprience - monthscompany details company - aegis school of data science & business description - mostly working on industry project for providing solution along with teaching appointments: teach undergraduate and graduate-level courses in spark and machine learning as an adjunct faculty member at aegis school of data science, mumbai ( to present) company - aegis school of data & business description - data science intern, nov to jan furnish executive leadership team with insights, analytics, reports and recommendations enabling effective strategic planning across all business units, distribution channels and product lines. chat bot using aws lex and tensor flow python the goal of project creates a chat bot for an academic institution or university to handle queries related courses offered by that institute. the objective of this task is to reduce human efforts as well as reduce man made errors. even by this companies handle their client x. in this case companies are academic institutions and clients are participants or students. web scraping using selenium web driver python the task is to scrap the data from the online messaging portal in a text format and have to find the pattern form it. data visualization and data insights hadoop eco system, hive, pyspark, qliksense the goal of this project is to build a business solutions to a internet service provider company, like handling data which is generated per day basis, for that we have to visualize that data and find the usage pattern form it and have a generate a reports. image based fraud detection microsoft face api, pyspark, open cv the main goal of project is recognize similarity for a face to given database images. face recognition is the recognizing a special face from set of different faces. face is extracted and then compared with the database image if that image recognized then the person already applied for loan from somewhere else and now hiding his or her identity, this is how we are going to prevent the frauds in the initial stage itself. churn analysis for internet service provider r, python, machine learning, hadoop the objective is to identify the customer who is likely to churn in a given period of time; we have to pretend the customer giving incentive offers. sentiment analysis python, nlp, apache spark service in ibm bluemix. this project is highly emphasis on tweets from twitter data were taken for mobile networks service provider to do a sentiment analysis and analyze whether the expressed opinion was positive, negative or neutral, capture the emotions of the tweets and comparative analysis. quantifiable results: mentored - data science enthusiast each year that have all since gone on to graduate school in data science and business analytics. reviewed and evaluated - research papers on data science for one of the largest data science conference called data science congress by aegis school of business mumbai. heading a solution providing organization called data science delivered into aegis school of data science mumbai and managed - live projects using data science techniques. working for some social cause with the help of data science for social goods committee, where our team developed a product called ""let's find a missing child"" for helping society. company - ibm india pvt ltd description - mostly worked on blumix and ibm watson for data science.","['data analytics engineer (hcl x anz bank)', 'middle/senior data analyst (python, sql)', 'senior data engineer', 'middle/senior data analyst (python, sql)', 'senior data analyst', 'data engineer (sql, data analyst, agile)']"
devops engineer,ho chi minh,"software proficiency: languages: basics of c, sql, pl/sql,java,javaee,javascript,html,css,jquery,mysql,spring ,hibernate. software tools: xillinx, modelsim, matlab, multisim. operating systems: windows xp, vista, , , ubuntu. project profile: b.e. project fpga implementation of team size: . role: programmer. aes algorithm aes is advanced encryption standard which is used in cryptography by which we can protect our data. it encrypted by a secret key. t.e. project sorting robot. team size: . role: mechanism designer. the tcs sensor sorts the rgb color balls according to their color. diploma project rfid based student team size: . role: interface. attendance system using gsm. in this student show rfid card of his own and then message send via gsm to their parent that his ward is present.education details may b.e. savitribai phule pune, maharashtra pune university march s.s.c maharashtra board devops engineer skill details c- exprience - months c++- exprience - months sql- exprience - months pl/sql- exprience - months core java- exprience - months javascript- exprience - less than year months html- exprience - less than year months css- exprience - less than year months jquery- exprience - less than year months javaee- exprience - less than year months mysql- exprience - less than year months python- exprience - monthscompany details company - parkar consulting and labs description - i'm working on the devops team in parkar consulting and labs. i have hands on the aws as well as python","['devops engineer (aws, jenkins, nexus)', 'senior devops engineer (azure cloud)', 'senior devops engineer - aws', 'nodejs developer (up to $2000)']"
pmo,ha noi,"skills exceptional communication and networking skills successful working in a team environment, as well as independently ability to work under pressure and multi-task strategies & campaigns corporate communications mis reporting & documentation training & development sales support & back office operations new process development & launch handling customer escalationseducation details bachelor of business administration business administration icfai business school integrated institute of management &technology higher secondary school, b.i.s.s school delhi, delhi senior secondary school, delhi public school senior manager - pmo skill details training- exprience - months documentation- exprience - months operations- exprience - months sales- exprience - months corporate communications- exprience - monthscompany details company - description - review and understand existing business processes to identify functional requirements to eliminate waste, improve controllership and deliver flexibility identify processes for re-design, prototype potential solutions, calculate trade-offs, costs, and suggest a recommended course of action by identifying modifications to the new/existing process project management of new requirements and opportunities for applying efficient and effective solutions responsible for delivering process reengineering projects across processes by closely working with the relevant businesses and operations units. responsible for documentation to train all stakeholders on any changes company - description - responsible for defining scope of project in accordance with the stakeholders, internal teams and senior management team. prepare project charter with defined timelines for project related activities. preparation of business requirement document (brd), closing understanding document (ud) with development team, uat completion and deployment. preparation of training documents, slas, sops etc. as required. conduct training for impacted teams to ensure smooth transition. company - teleperformance india description - driving sales through call center and achieve target with overall responsibility of exploring selling opportunities by understanding customer preferences and requirements. conceptualizing and implementing sales promotional activities as a part of pilot batch for new company launch. training new joiners through the process of call barging. interaction with client to understand requirements and expectations. handling call quality sessions with the client. handling adhoc requirements from client as well as senior management and delivering timely resolution for the same. master of business administration","['erp business analyst - presales consultant', 'project manager/product owner', 'business system analyst', 'senior business analyst', 'product manager (logistics, b2b)']"
web designing,da nang,"education details january b.sc. information technology mumbai, maharashtra university of mumbai january hsc allahabad, uttar pradesh allahabad university january ssc dot net allahabad, uttar pradesh allahabad university web designer and developer trainer web designer and developer skill details web design- exprience - months php- exprience - monthscompany details company - nettech india description - working. ( salary - k) personal interest listening to music, surfing net, watching movie, playing cricket. company - epi center academy description - working. ( salary contract based) company - aptech charni road description - salary contract based)","['web developer (python, php) up to $1500', '[da nang] web app developer (php/c#/.net/javascript)', 'front-end developer (vuejs - typescript)', 'fullstack / backend developer (.net)']"
testing,ho chi minh,"skill set os windows xp///./ database mysql, sql server , & languages core java web technology html, css testing manual testing, database testing other bug tracking and reporting, end user handling.education details january mcs pune, maharashtra p.v.p college pravaranagar january hsc a.k.junior college january ssc a.k.mahavidyalya jr testing engineer jr testing engineer - m-tech innovations ltd skill details testing- exprience - months windows xp- exprience - months css- exprience - months database- exprience - months database testing- exprience - monthscompany details company - m-tech innovations ltd description - responsibilities analyzing the testing requirements preparing test plans, test scenarios preparing test cases executing the test cases tracking bugs coordinating developers in order to fix it preparing test summary reports reporting quality manager attending meeting projects project name .web based time attendance application environment windows-, vista, windows xp, windows , windows clients mccia, sapphire park, bramha suncity, wanless hospital role software testing duration months project name android .time attendance application .vehicle tracking system .vistor management system environment android mobile, android tablet. clients vankan security role application testing duration months project name .web based factory automation process .web based annual maintenance charges environment windows-, vista, windows xp, windows , windows role software testing duration months project name web based library management system environment windows-, vista, windows xp, windows , windows role software testing duration months","['senior manual qc (tester, product, start-up)', 'senior manual tester (qa qc, english)', 'automation tester engineer ', 'system test engineer (automation test, networking)']"
sap developer,ho chi minh,"education details january bachelor of engineering lean projects mumbai, maharashtra mumbai university january diploma computer engineering ratnagiri, maharashtra maharashtra state board of technical education sap consultant sap consultant - quick learner skill details company details company - quick learner description - groomed skills with microsoft excel. job responsibilities: working on centralized sap security project which includes user vba programming for automation. level authorizations including role creation and changes. and compliance policy maintenance for sap systems. confidence and positive attitude. assisting users in troubleshooting and identifying authorization issues using su and trace analysis. willingness to learn & work in team. working on grc .x access control application and all its component. strong analytical thinking, documentation and design skills assisting in defining the scope of a project/opportunities, estimating efforts and project timelines. hands on experience in sap market place for creating user / adaptable to new environment, with ability to get along with oss ids/developer keys.people.","['fullstack developer (rust, javascript, c#)', 'project coordinator', 'senior java developer (ide plugin/extension)']"
arts,ho chi minh,"additional qualifications april , web designing course with above average computer skillseducation details january to january bachelor of arts sociology mumbai, maharashtra the mumbai university january to january bachelor of arts sociology sophia college january to january h.s.c. sophia college january to january s.s.c. st. teresa's convent high school head business development, arts head business development, arts skill details company details company - british council description - responsibilities strategic oversight responsibility for programmes in the performing arts (music, theatre and dance) and other cultural sectors. lead on the conception and oversight of specific large-scale programmes within the overall arts programme, represent the british council at external events in india and act as deputy to the director, arts when required. oversee and manage resources to deliver compelling communications for applicants that convey british council's grants like charles wallace india trust, young creative entrepreneurs and chevening clore scholarship programs on time and with excellence shortlisting and interviewing potential applicants for existing relevant grants or fellowships. oversee a diverse range of proposals, progress reports and related projects ensuring effective and timely identification and communication of program progress lead a team of six project managers across the country and manage the performance of the team responsible for executing arts projects with partnerships built into their work, expertise within their geographic region to ensure arts insight and knowledge is available as and when required. managing relations with existing partners, and developing relationships with targeted new partners and key government officials and ensuring that market insight into business development opportunities is built into the planning of new programmes primary strategic responsibility for the marketing of the arts program in india, to ensure that the program builds a reputation that will be attractive to potential partners, in partnership with the marketing and communications team. company - british council description - is a cultural relations organization creating international opportunities for the people of the uk and other countries by building trust between them worldwide. they have offices in six continents and over countries bringing international opportunity to life, every day. each year they work with millions of people, connecting them with the united kingdom, sharing their cultures and the uk's most attractive assets: english, the arts, and education. they have years' experience of doing this company - british council description - responsibilities leading the strategic development of british council's work in the music sector in india/ sri lanka region and building and maintaining strong international partnerships across sectors in india/ sri lanka and the uk developing strong external partnerships that lead to significant external investment in bc activities and enabling the delivery of an ambitious programme of music sector activities and events thus strengthening cultural relationships between india/ sri lanka and the uk leading the implementation of the music programme within india and sri lanka along with detailed project plans in liaison with colleagues from india/ sri lanka and the uk proactive management of budgets and timelines for all projects ensuring systematic evaluation of projects, including developing effective systems and processes for capturing both quantitative and qualitative information about effectiveness of projects and longer term impact management of a team across india and sri lanka, contributing to recruitment and development/ mentoring of staff company - british council description - responsibilities planning and organizing logistics related to events, buildings, performers/artists and other personnel marketing a performance or event through social media, direct mail, advertising, use of a website, producing posters or publicity leaflets and attracting media coverage planning and managing budgets programming and booking performances and events, including arrangements for tours in india development of new projects and initiatives in consultation with arts professionals and key stakeholders (e.g. local authorities, local government and communities, venue directors and regional partners) taking responsibility for operational and office management issues such as venue accessibility, health and safety issues implementing and maintaining office and information systems providing administration support to managers and the director ensuring corporate and legal requirements are complied with, and reporting to the head of the unit company - british council description - responsibilities developing of new specific new projects and initiatives in the music, film and visual art sector in consultation with the council and key stakeholders planning and managing budgets supporting the marketing a performance or event through social media, direct mail, advertising, use of a website, producing posters or publicity leaflets and attracting media coverage programming the outreach and workshops for the respective programmes. company - aircheck india description - the company intended to launch stations in both these metros on august , . for its mumbai fm station, win had the basic infrastructure that includes a studio and production facilities. the transmission tower for the station is located in central mumbai. responsibilities generating and researching ideas for programmes and pitching for commissions sourcing potential contributors and interviewees selecting music appropriate to the programme, the audience and the station producing pre-production briefings for presenters, reporters, technical staff and other contributors managing the logistics of getting people, resources and equipment together to the right place at the right time undertaking editing, interviewing and reporting duties as necessary presenting programmes or managing presenters for both pre-recorded and recorded output checking that copyrights are cleared and understanding media law using editing and mixing software's like 'sonic foundry vegas', 'sonic foundry sound forge', 'acid', and 'midi'. company - rave magazine description - rave magazine was the definitive voice of music emerging from the indian sub-continent and the lifestyle that surrounds it. through exclusive reporting, a unique sensibility, and with an editorial team with over years of experience in publishing, rave magazine covers every genre of music emerging from the region and provides new perspectives on international music. responsibilities maintain production schedules and report on the progress overview the staff, manage and supervise photographers and freelance writers and generally provide administrative support for the editor participated in production meetings and brain storming sessions to decide on the direction, future trends and contents of the publication company - xs events description - xs events is an event management company primarily dealing with corporate clients who used different events to increase an audience's exposure with a brand. responsibilities development, production and delivery of projects from proposal right up to delivery. delivering events on time, within budget maintaining timelines and priorities on every project managing supplier relationships managing operational and administrative functions to ensure specific projects are delivered efficiently company - banyan tree communications description - responsibilities sourcing potential contributors and interviewees selecting music appropriate to the programme, the audience and the station undertaking editing, interviewing and reporting duties as necessary checking that copyrights are cleared and understanding media law company - french embassy description - on a part time basis. company - british council description - mumbai advice students on various academic opportunities in the united kingdom and assisted with various exhibitions by the british council.","['business analyst ', 'technical project manager (agile/scrum)', 'senior agile project manager', ' engineering director']"
java developer,ho chi minh,"technical skills skills: java, sql, pl/sql, c, c++, bootstrap, jsp, ext js operating systems: windows tools: toad, eclipse, soapbox, postman databases: oracle, ms-sql, ms-access, ms-exceleducation details january b.e. computer technology gondia, maharashtra, in manoharbhai patel institute of engineering and technology hsc gondia, maharashtra, in s.m.p. science college java developer java developer - xoriant solutions pvt ltd skill details company details company - xoriant solutions pvt ltd description - pune period sept' to till date role java developer description resrent is a team responsible for the development of various modules for hertz. they are responsible for the development of screens in the portfolios they look after, and act as a primary control function; developing webservices to ensure it can be hit by xml and json. we build various modules which are inbuilt in hertz to provide interfaces for end users in their tasks. tools eclipse, toad, soapbox, postman responsibilities - develop module from backend to middleware to frontend. - bugs fixing and proactive developing of enhancements - resolve application incidents within defined ucs & creating different task ticket as well. - debug and provide solution for workflow. - resolving db issues and providing technical support to bas. - keeping track of deployments and effect of same on ongoing jobs - contribution towards automation of daily activities and process based organization - on-time, within-budget delivery meeting customers' quality expectations. - maintain knowledge base of domain, known defects and issues, processes and development techniques. company - xoriant solutions pvt ltd description - strong communication, collaboration & team building skills with proficiency at grasping new technical concepts quickly and utilize the same in a productive manner. experience in development in web application. resolve project related issues in minimal time. able to communicate effectively with multifunctional teams, programmers and technical staff at all levels. good knowledge of java, sql, ext js, jsp, xml, web services. good interpersonal & analytical skills with proven abilities in resolving the complex software issue.","['edi developer (java/sql/english)', 'middle java developer (english required) - up to 2500$', 'senior java developer (english required) - up to 3200$', 'mid java (sping) developer', 'java fullstack developer (spring, english) up to $2600']"
